10977,2 Downtown LA - Pacific Palisades Via Sunset Bl,Hilgard / Sunset,34.0779999,-118.4392999
10979,2 Downtown LA - Pacific Palisades Via Sunset Bl,Hilgard / Manning,34.0669199,-118.43953
10985,2 Downtown LA - Pacific Palisades Via Sunset Bl,Hilgard / Westholme,34.06937,-118.4391099
10988,2 Downtown LA - Pacific Palisades Via Sunset Bl,Hilgard / Wyton,34.07419,-118.43808
,2 Downtown LA - Pacific Palisades Via Sunset Bl,Le Conte / Broxton,34.0635899,-118.44673
11427,2 Downtown LA - Pacific Palisades Via Sunset Bl,Le Conte / Gayley,34.06372,-118.44805
11429,2 Downtown LA - Pacific Palisades Via Sunset Bl,Le Conte / Tiverton,34.06379,-118.4427499
,2 Downtown LA - Pacific Palisades Via Sunset Bl,Fairfax / Sunset,34.0972999,-118.36168
11433,2 Downtown LA - Pacific Palisades Via Sunset Bl,Le Conte / Westwood,34.0637599,-118.4451
11767,2 Downtown LA - Pacific Palisades Via Sunset Bl,Montana / Levering,34.0692899,-118.45774
11768,2 Downtown LA - Pacific Palisades Via Sunset Bl,Montana / Bentley,34.0691599,-118.4594199
11769,2 Downtown LA - Pacific Palisades Via Sunset Bl,Montana / Sepulveda,34.06746,-118.46112
11900,2 Downtown LA - Pacific Palisades Via Sunset Bl,Broadway / Arcadia,34.0569399,-118.24221
11989,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Fairfax,34.0981799,-118.36187
11992,2 Downtown LA - Pacific Palisades Via Sunset Bl,Fairfax / Sunset,34.0977799,-118.3616899
12724,2 Downtown LA - Pacific Palisades Via Sunset Bl,16321 Pacific Coast,34.0386,-118.54086
13227,2 Downtown LA - Pacific Palisades Via Sunset Bl,Broadway / 3rd,34.0511,-118.2477099
13242,2 Downtown LA - Pacific Palisades Via Sunset Bl,Broadway / 4th,34.04965,-118.2490699
13931,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sepulveda / Homedale,34.0697099,-118.4632999
14378,2 Downtown LA - Pacific Palisades Via Sunset Bl,Santa Monica / San Vicente,34.0849099,-118.38363
14754,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Evans,34.0511999,-118.51115
14755,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Innes,34.0712099,-118.25041
14756,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Miller,34.0942399,-118.37684
14757,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Ladera,34.07984,-118.42272
14759,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Mandeville Canyon,34.0605199,-118.4938299
14761,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Monument,34.04611,-118.52402
14764,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Portia,34.07552,-118.25414
14766,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Via De La Paz,34.04821,-118.52718
14767,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Westcove,34.0575799,-118.4961499
14768,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Will Rogers State Park,34.04735,-118.5131499
14776,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Charing Cross,34.07965,-118.43002
14777,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Copley,34.0778399,-118.42181
14784,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Alpine,34.0854599,-118.40795
14785,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Alta,34.08877,-118.3954499
14786,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Bedford,34.0787,-118.4169399
14788,2 Downtown LA - Pacific Palisades Via Sunset Bl,Sunset / Beverly,34.0819299,-118.41175
